Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.12;0.44;1.35;0.01;0.014;None;None;None;None;None;None;None;326;150;55;30;None;None;60;50;60;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;0;162;None;None;None;None;None;None;None;SvenGret-1990-14Ch0
0.12;0.44;1.35;0.01;0.014;None;None;None;None;None;None;None;326;150;55;30;None;None;60;50;60;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;20;176;None;None;None;None;None;None;None;SvenGret-1990-14Ch2
0.13;0.37;1.83;0.01;0.011;None;None;None;None;None;None;None;318;130;63;30;None;None;60;50;50;180;23;DC;+;1;250;MMA;0;0;526;None;None;None;None;None;None;None;None;None;None;None;None;SvenGret-1990-15
0.13;0.37;1.83;0.01;0.011;None;None;None;None;None;None;None;318;130;63;30;None;None;60;50;50;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;-60;89;None;None;None;None;None;None;None;SvenGret-1990-15Ch-6
0.13;0.37;1.83;0.01;0.011;None;None;None;None;None;None;None;318;130;63;30;None;None;60;50;50;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;-40;114;None;None;None;None;None;None;None;SvenGret-1990-15Ch-4
0.13;0.37;1.83;0.01;0.011;None;None;None;None;None;None;None;318;130;63;30;None;None;60;50;50;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;-20;136;None;None;None;None;None;None;None;SvenGret-1990-15Ch-2
0.13;0.37;1.83;0.01;0.011;None;None;None;None;None;None;None;318;130;63;30;None;None;60;50;50;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;0;167;None;None;None;None;None;None;None;SvenGret-1990-15Ch0
0.13;0.37;1.83;0.01;0.011;None;None;None;None;None;None;None;318;130;63;30;None;None;60;50;50;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;20;174;None;None;None;None;None;None;None;SvenGret-1990-15Ch2
0.11;0.36;2.18;0.008;0.011;None;None;None;None;None;None;None;342;120;74;30;None;None;60;70;80;180;23;DC;+;1;250;MMA;0;0;617;None;None;None;None;None;None;None;None;None;None;None;None;SvenGret-1990-16
0.11;0.36;2.18;0.008;0.011;None;None;None;None;None;None;None;342;120;74;30;None;None;60;70;80;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;-60;52;None;None;None;None;None;None;None;SvenGret-1990-16Ch-6
0.11;0.36;2.18;0.008;0.011;None;None;None;None;None;None;None;342;120;74;30;None;None;60;70;80;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;-40;64;None;None;None;None;None;None;None;SvenGret-1990-16Ch-4
0.11;0.36;2.18;0.008;0.011;None;None;None;None;None;None;None;342;120;74;30;None;None;60;70;80;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;-20;107;None;None;None;None;None;None;None;SvenGret-1990-16Ch-2
0.11;0.36;2.18;0.008;0.011;None;None;None;None;None;None;None;342;120;74;30;None;None;60;70;80;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;0;129;None;None;None;None;None;None;None;SvenGret-1990-16Ch0
0.11;0.36;2.18;0.008;0.011;None;None;None;None;None;None;None;342;120;74;30;None;None;60;70;80;180;23;DC;+;1;250;MMA;0;0;None;None;None;None;20;162;None;None;None;None;None;None;None;SvenGret-1990-16Ch2
0.057;0.62;1.22;0.01;0.012;0.05;0.09;None;0.011;None;None;None;1100;180;43;70;1;30;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;538;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-1
0.053;0.68;1.3;0.01;0.01;0.04;0.06;None;0.009;None;None;None;1300;170;39;70;1;30;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;552;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-2
0.058;0.59;1.12;0.013;0.015;0.03;0.12;None;0.015;None;None;None;640;80;73;110;1;20;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;552;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-3
0.053;0.7;1.28;0.013;0.015;0.03;0.1;None;0.015;None;None;None;622;80;71;120;2;20;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;557;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-4
0.055;0.42;0.9;0.016;0.012;0.55;0.06;None;0.012;None;None;None;780;220;46;20;1;70;None;None;None;285;32;DC;+;2.9;200;FCA;200;14;None;552;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-5
0.069;0.56;1.12;0.016;0.011;0.58;0.06;None;0.013;None;None;None;837;280;41;30;3;90;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;572;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-6
0.065;0.59;1.17;0.015;0.011;0.62;0.05;None;0.013;None;None;None;781;260;34;30;3;100;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;582;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-7
0.066;0.23;0.79;0.015;0.015;0.03;0.11;None;0.013;None;None;None;796;310;70;210;16;70;None;None;None;285;32;DC;+;2.9;200;FCA;200;14;None;498;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-8
0.067;0.39;1.12;0.014;0.016;0.03;0.1;None;0.016;None;None;None;684;570;74;460;28;100;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;538;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-9
0.062;0.37;1.1;0.015;0.014;0.02;0.08;None;0.015;None;None;None;816;390;69;510;28;10;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;533;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-10
0.055;0.34;0.81;0.01;0.009;0.02;0.05;None;0.011;None;None;None;466;20;59;40;1;10;None;None;None;285;32;DC;+;2.9;200;FCA;200;14;None;491;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-11
0.066;0.56;1.14;0.01;0.011;0.02;0.07;None;0.016;None;None;None;495;30;34;40;1;30;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;533;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-12
0.067;0.51;1.08;0.013;0.011;0.02;0.08;None;0.015;None;None;None;412;30;46;40;1;20;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;533;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-13
0.054;0.5;1.68;0.009;0.015;0.01;0.1;None;0.008;None;None;None;690;70;48;110;1;20;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;557;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-14
0.046;0.53;1.74;0.008;0.015;0.01;0.09;None;0.006;None;None;None;736;80;37;130;1;20;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;552;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-15
0.07;0.46;1.19;0.01;0.018;0.01;0.1;None;0.016;None;None;None;771;430;46;370;19;70;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;538;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-16
0.059;0.46;1.25;0.009;0.015;0.01;0.06;None;0.013;None;None;None;788;410;57;440;19;60;None;None;None;280;30;DC;+;2.8;200;FCA;200;14;None;535;None;None;None;None;None;None;None;None;None;None;None;PakSven-1990-17
0.068;0.35;1.06;0.006;0.009;None;0.027;None;None;None;None;None;416;36;63;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-62;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Aaw
0.068;0.35;1.06;0.006;0.009;None;0.027;None;None;None;None;None;416;36;63;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-78;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Aht
0.071;0.36;1.09;0.006;0.009;None;0.41;None;None;None;None;None;418;41;71;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-61;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Baw
0.071;0.36;1.09;0.006;0.009;None;0.41;None;None;None;None;None;418;41;71;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-73;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Bht
0.072;0.35;1.05;0.005;0.007;None;0.79;None;None;None;None;None;421;37;73;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-63;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Caw
0.072;0.35;1.05;0.005;0.007;None;0.79;None;None;None;None;None;421;37;73;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-68;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Cht
0.075;0.35;1.09;0.006;0.008;None;1.22;None;None;None;None;None;424;52;87;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-57;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Daw
0.075;0.35;1.09;0.006;0.008;None;1.22;None;None;None;None;None;424;52;87;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-60;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Dht
0.07;0.34;1.06;0.006;0.008;None;1.57;None;None;None;None;None;463;41;85;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-40;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Eaw
0.07;0.34;1.06;0.006;0.008;None;1.57;None;None;None;None;None;463;41;85;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-48;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Eht
0.073;0.34;1.07;0.006;0.007;None;1.97;None;None;None;None;None;430;40;89;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-25;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Faw
0.073;0.34;1.07;0.006;0.007;None;1.97;None;None;None;None;None;430;40;89;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-40;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Fht
0.077;0.35;1.05;0.006;0.008;None;2.28;None;None;None;None;None;424;37;88;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;1;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Gaw
0.077;0.35;1.05;0.006;0.008;None;2.28;None;None;None;None;None;424;37;88;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;-25;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Ght
0.072;0.38;1.09;0.006;0.009;None;2.8;None;None;None;None;None;467;33;85;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;20;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Haw
0.072;0.38;1.09;0.006;0.009;None;2.8;None;None;None;None;None;467;33;85;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;None;None;None;None;1;100;None;None;None;None;None;None;None;JorgeEtAl-1993-Hht
0.05;0.29;0.72;0.007;0.009;0.77;0.52;0.23;None;1.19;None;None;250;70;80;210;21;330;None;None;None;680;34;DC;+;2;200;SA;0;0;649;None;None;None;None;None;257;6;None;None;None;None;None;Hunt&-Di-1994-1
0.05;0.27;0.75;0.006;0.01;0.75;0.5;0.23;None;1.05;None;None;190;70;80;180;21;320;None;None;None;680;34;DC;+;3.3;200;SA;0;0;576;None;None;None;None;None;227;-10;None;None;None;None;None;Hunt&-Di-1994-2
0.05;0.26;0.75;0.006;0.01;0.75;0.5;0.24;None;1.04;None;None;210;70;80;180;25;320;None;None;None;680;34;DC;+;4.6;200;SA;0;0;556;None;None;None;None;None;224;-40;None;None;None;None;None;Hunt&-Di-1994-3
0.05;0.27;0.77;0.005;0.01;0.73;0.49;0.24;None;1.04;None;None;210;70;80;170;25;310;None;None;None;665;34;DC;+;5.3;200;SA;0;0;538;None;None;None;None;None;226;-60;None;None;None;None;None;Hunt&-Di-1994-4
0.05;0.26;0.98;0.005;0.012;0.54;0.41;0.27;None;0.85;None;None;240;100;80;140;26;200;None;None;None;670;34;DC;+;2;200;SA;0;0;571;None;None;None;None;None;234;-126;None;None;None;None;None;Hunt&-Di-1994-5
0.05;0.25;0.98;0.005;0.011;0.55;0.42;0.27;None;0.81;None;None;230;100;80;150;26;210;None;None;None;670;34;DC;+;3.3;200;SA;0;0;561;None;None;None;None;None;217;-126;None;None;None;None;None;Hunt&-Di-1994-6
0.05;0.24;0.97;0.005;0.012;0.53;0.4;0.26;None;0.82;None;None;230;90;80;140;21;200;None;None;None;670;34;DC;+;4.6;200;SA;0;0;552;None;None;None;None;None;213;-106;None;None;None;None;None;Hunt&-Di-1994-7
0.04;0.24;0.98;0.005;0.012;0.53;0.4;0.27;None;0.82;None;None;210;90;80;130;25;190;None;None;None;670;34;DC;+;5.3;200;SA;0;0;541;None;None;None;None;None;209;-106;None;None;None;None;None;Hunt&-Di-1994-8
0.05;0.35;0.79;0.007;0.011;1.39;0.56;0.28;None;0.96;None;None;210;40;80;200;15;330;None;None;None;640;34;DC;+;2;200;SA;0;0;678;None;None;None;None;None;259;6;None;None;None;None;None;Hunt&-Di-1994-9
0.05;0.36;0.82;0.007;0.011;1.44;0.55;0.29;None;0.92;None;None;190;50;80;190;14;320;None;None;None;660;34;DC;+;3.3;200;SA;0;0;636;None;None;None;None;None;239;7;None;None;None;None;None;Hunt&-Di-1994-10
0.05;0.36;0.85;0.007;0.012;1.49;0.55;0.31;None;0.89;None;None;210;40;80;170;19;320;None;None;None;660;34;DC;+;4.6;200;SA;0;0;601;None;None;None;None;None;223;-15;None;None;None;None;None;Hunt&-Di-1994-11
0.05;0.36;0.86;0.007;0.012;1.5;0.54;0.31;None;0.87;None;None;200;50;80;160;17;310;None;None;None;660;34;DC;+;5.3;200;SA;0;0;585;None;None;None;None;None;230;-40;None;None;None;None;None;Hunt&-Di-1994-12
0.05;0.39;1.1;0.006;0.013;1.87;0.53;0.37;None;0.57;None;None;220;60;70;160;12;210;None;None;None;660;34;DC;+;2;200;SA;0;0;592;None;None;None;None;None;252;-73;None;None;None;None;None;Hunt&-Di-1994-13
0.05;0.38;1.11;0.005;0.014;1.89;0.52;0.37;None;0.56;None;None;220;50;70;150;11;200;None;None;None;660;34;DC;+;3.3;200;SA;0;0;555;None;None;None;None;None;241;-64;None;None;None;None;None;Hunt&-Di-1994-14
0.05;0.39;1.1;0.006;0.013;1.87;0.52;0.37;None;0.57;None;None;220;60;80;140;13;210;None;None;None;660;34;DC;+;4.6;200;SA;0;0;547;None;None;None;None;None;231;-68;None;None;None;None;None;Hunt&-Di-1994-15
0.05;0.4;1.12;0.006;0.014;1.9;0.51;0.37;None;0.55;None;None;210;60;70;140;11;200;None;None;None;660;34;DC;+;5.3;200;SA;0;0;543;None;None;None;None;None;229;-64;None;None;None;None;None;Hunt&-Di-1994-16
0.07;0.53;1.72;0.012;0.016;0.01;0.03;0.01;0.01;0.03;None;None;176;240;54;210;7;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;462;638;31;67;-28;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-1
0.08;0.59;1.84;0.013;0.016;0.01;0.05;0.01;0.01;0.38;None;None;155;230;54;240;8;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;507;694;30;58;9;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-2
0.08;0.62;1.86;0.013;0.016;0.01;0.05;0.01;0.01;0.81;None;None;174;230;54;220;10;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;523;714;30;53;-5;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-3
0.08;0.58;1.83;0.013;0.016;0.45;0.05;0.01;0.01;0.03;None;None;171;230;55;230;6;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;522;709;30;54;-11;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-4
0.08;0.59;1.84;0.013;0.015;0.45;0.05;0.01;0.01;0.4;None;None;168;250;49;240;9;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;500;731;28;49;11;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-5
0.08;0.62;1.85;0.013;0.017;0.45;0.05;0.01;0.01;0.81;None;None;152;220;52;240;10;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;504;743;27;46;18;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-6
0.08;0.62;1.83;0.013;0.014;1.51;0.05;0.01;0.01;0.03;None;None;185;230;67;200;7;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;515;737;26;48;0;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-7
0.07;0.59;1.85;0.013;0.014;1.5;0.05;0.01;0.01;0.42;None;None;146;250;57;200;9;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;515;810;24;41;30;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-8
0.08;0.66;1.92;0.013;0.015;1.54;0.05;0.01;0.01;0.89;None;None;148;260;51;230;13;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;542;829;26;51;33;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-9
0.09;0.63;1.9;0.013;0.015;0.01;0.05;0.01;0.01;0.04;None;None;165;250;56;190;36;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;466;761;29;44;37;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-10
0.08;0.67;1.94;0.013;0.015;0.51;0.05;0.01;0.01;0.43;None;None;142;280;57;220;40;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;489;807;27;42;51;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-11
0.08;0.68;1.94;0.013;0.015;1.54;0.05;0.01;0.01;0.85;None;None;132;290;55;270;44;None;None;None;None;700;32;DC;+;4.8;200;SA;0;0;546;869;21;28;55;35;None;None;None;None;None;None;None;Kluket-CuMnB-1994-12
0.07;0.34;0.95;0.027;0.021;0;0;0;0.006;0;None;None;None;70;90;35;None;60;0;None;90;None;None;DC;+;2.7;250;MMA;0;0;456.2;529.8;27.5;73;None;None;180;None;None;None;None;None;None;Cunh-1982-7018aw1
0.07;0.34;0.95;0.027;0.021;0;0;0;0.006;0;None;None;None;70;90;35;None;60;0;None;90;None;None;DC;+;2.7;250;MMA;600;2.1;430.7;519.9;29.5;73.5;None;None;174;None;None;None;None;None;None;Cunh-1982-7018ht1
0.06;0.28;0.55;0.024;0.041;1.26;0;0;0.01;0.02;None;None;None;70;70;35;None;60;0;None;90;None;None;DC;+;2.2;250;MMA;0;0;475.8;564.1;28;70.5;None;None;220;None;None;None;None;None;None;Cunh-1982-8018Gaw2
0.06;0.28;0.55;0.024;0.041;1.26;0;0;0.01;0.02;None;None;None;70;70;35;None;60;0;None;90;None;None;DC;+;2.2;250;MMA;600;2.1;430.7;529.8;24.5;69;None;None;184;None;None;None;None;None;None;Cunh-1982-8018Ght2
0.09;0.42;0.93;0.011;0.058;0;0;0.02;0.004;0.08;None;None;None;140;160;40;None;120;1000;None;140;None;None;DC;+;2.5;250;MMA;0;0;491.5;573.9;28;74;None;None;193;None;None;None;None;None;None;Cunh-1982-7016aw3
0.09;0.42;0.93;0.011;0.058;0;0;0.02;0.004;0.08;None;None;None;140;160;40;None;120;1000;None;140;None;None;DC;+;2.5;250;MMA;600;2.1;420.9;541.5;24.5;74.5;None;None;180;None;None;None;None;None;None;Cunh-1982-7016ht3
0.08;0.33;0.65;0.015;0.026;0.5;0.35;0.008;0.004;0.02;None;None;None;200;140;45;None;150;60;None;140;None;None;DC;+;2.4;250;MMA;0;0;503.3;591.5;28;73;None;None;213;None;None;None;None;None;None;Cunh-1982-7018Gaw4
0.08;0.33;0.65;0.015;0.026;0.5;0.35;0.008;0.004;0.02;None;None;None;200;140;45;None;150;60;None;140;None;None;DC;+;2.4;250;MMA;600;2.1;500.3;600.4;22.7;73.7;None;None;189;None;None;None;None;None;None;Cunh-1982-7018Ght4
0.07;0.61;1.07;0.025;0.026;0;0;0;0.014;0;None;None;None;64;94;70;None;40;0;None;64;None;None;DC;+;2.8;250;MMA;0;0;479.7;583.7;24;71.5;None;None;189;None;None;None;None;None;None;Cunh-1982-8018Gaw5
0.07;0.61;1.07;0.025;0.026;0;0;0;0.014;0;None;None;None;64;94;70;None;40;0;None;64;None;None;DC;+;2.8;250;MMA;600;2.1;456.2;555.2;24.5;72;None;None;213;None;None;None;None;None;None;Cunh-1982-8018Ght5
0.07;0.21;0.75;0.011;0.011;0;0;0;0;0;None;None;None;0;190;69;None;0;0;None;0;None;None;DC;+;2.6;250;MMA;0;0;463;552.3;33;75;None;None;181;None;None;None;None;None;None;Cunh-1982-7018aw6
0.07;0.21;0.75;0.011;0.011;0;0;0;0;0;None;None;None;0;190;69;None;0;0;None;0;None;None;DC;+;2.6;250;MMA;600;2.1;369.8;486.6;None;76;None;None;174;None;None;None;None;None;None;Cunh-1982-7018ht6
0.09;0.44;0.9;0.01;0.027;0;0;0;0;0;None;None;None;200;70;88;None;0;0;None;0;None;None;DC;+;1.8;150;MMA;0;0;486.8;569.3;24;71;None;None;183;None;None;None;None;None;None;Cunh-1982-7016aw7
